Session,Line,wordAx,wordAy,wordBx,wordBy
119,7,489,698,663,736
119,7,685,698,872,733
119,7,302,705,477,741
119,2,153,244,312,277
119,6,270,611,392,647
119,6,423,612,550,645
119,6,584,610,707,642
119,8,695,795,773,842
119,8,600,796,674,830
119,4,397,430,480,460
119,5,194,524,266,555
119,5,395,524,463,555
119,1,251,153,321,181
119,5,305,527,369,553
119,1,190,153,246,181
119,3,363,337,412,367
119,8,491,794,530,831
119,8,531,798,583,825
119,3,159,338,200,368
119,4,170,433,215,460
119,4,341,429,386,456
119,4,285,430,327,458
119,3,214,340,257,367
119,3,314,341,358,367
119,3,413,342,459,366
119,3,268,339,309,365
119,1,157,153,189,183
119,4,233,435,269,458
119,8,790,806,823,822
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
