Session,Line,wordAx,wordAy,wordBx,wordBy
119,7,439,748,613,786
119,7,635,748,822,783
119,7,252,755,427,791
119,2,103,294,262,327
119,6,220,661,342,697
119,6,373,662,500,695
119,6,534,660,657,692
119,8,645,845,723,892
119,8,550,846,624,880
119,4,347,480,430,510
119,5,144,574,216,605
119,5,345,574,413,605
119,1,201,203,271,231
119,5,255,577,319,603
119,1,140,203,196,231
119,3,313,387,362,417
119,8,441,844,480,881
119,8,481,848,533,875
119,3,109,388,150,418
119,4,120,483,165,510
119,4,291,479,336,506
119,4,235,480,277,508
119,3,164,390,207,417
119,3,264,391,308,417
119,3,363,392,409,416
119,3,218,389,259,415
119,1,107,203,139,233
119,4,183,485,219,508
119,8,740,856,773,872
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
