Session,Line,wordAx,wordAy,wordBx,wordBy
119,7,539,748,713,786
119,7,735,748,922,783
119,7,352,755,527,791
119,2,203,294,362,327
119,6,320,661,442,697
119,6,473,662,600,695
119,6,634,660,757,692
119,8,745,845,823,892
119,8,650,846,724,880
119,4,447,480,530,510
119,5,244,574,316,605
119,5,445,574,513,605
119,1,301,203,371,231
119,5,355,577,419,603
119,1,240,203,296,231
119,3,413,387,462,417
119,8,541,844,580,881
119,8,581,848,633,875
119,3,209,388,250,418
119,4,220,483,265,510
119,4,391,479,436,506
119,4,335,480,377,508
119,3,264,390,307,417
119,3,364,391,408,417
119,3,463,392,509,416
119,3,318,389,359,415
119,1,207,203,239,233
119,4,283,485,319,508
119,8,840,856,873,872
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
