Session,Line,wordAx,wordAy,wordBx,wordBy
119,7,539,648,713,686
119,7,735,648,922,683
119,7,352,655,527,691
119,2,203,194,362,227
119,6,320,561,442,597
119,6,473,562,600,595
119,6,634,560,757,592
119,8,745,745,823,792
119,8,650,746,724,780
119,4,447,380,530,410
119,5,244,474,316,505
119,5,445,474,513,505
119,1,301,103,371,131
119,5,355,477,419,503
119,1,240,103,296,131
119,3,413,287,462,317
119,8,541,744,580,781
119,8,581,748,633,775
119,3,209,288,250,318
119,4,220,383,265,410
119,4,391,379,436,406
119,4,335,380,377,408
119,3,264,290,307,317
119,3,364,291,408,317
119,3,463,292,509,316
119,3,318,289,359,315
119,1,207,103,239,133
119,4,283,385,319,408
119,8,840,756,873,772
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
